tvl
"{'date': 1556323200, 'totalLiquidityUSD': 324636100.0988829}"
"{'date': 1556409600, 'totalLiquidityUSD': 322142508.5757748}"
"{'date': 1556496000, 'totalLiquidityUSD': 326910738.76569706}"
"{'date': 1556582400, 'totalLiquidityUSD': 316208536.6914208}"
"{'date': 1556668800, 'totalLiquidityUSD': 330266902.8060439}"
"{'date': 1556755200, 'totalLiquidityUSD': 337903142.240224}"
"{'date': 1556841600, 'totalLiquidityUSD': 330725454.2357701}"
"{'date': 1556928000, 'totalLiquidityUSD': 338211869.67600733}"
"{'date': 1557014400, 'totalLiquidityUSD': 333913390.7337032}"
"{'date': 1557100800, 'totalLiquidityUSD': 334871013.88533074}"
"{'date': 1557187200, 'totalLiquidityUSD': 334477830.050355}"
"{'date': 1557273600, 'totalLiquidityUSD': 365783299.7768023}"
"{'date': 1557360000, 'totalLiquidityUSD': 345624122.3336745}"
"{'date': 1557446400, 'totalLiquidityUSD': 347011258.01276845}"
"{'date': 1557532800, 'totalLiquidityUSD': 342942900.8646984}"
"{'date': 1557619200, 'totalLiquidityUSD': 368678797.1645559}"
"{'date': 1557705600, 'totalLiquidityUSD': 374430300.70888853}"
"{'date': 1557792000, 'totalLiquidityUSD': 380020029.4985257}"
"{'date': 1557878400, 'totalLiquidityUSD': 405311092.52727705}"
"{'date': 1557964800, 'totalLiquidityUSD': 445689634.1051663}"
"{'date': 1558051200, 'totalLiquidityUSD': 449960367.42792475}"
"{'date': 1558137600, 'totalLiquidityUSD': 415545733.55858946}"
"{'date': 1558224000, 'totalLiquidityUSD': 426843604.3494047}"
"{'date': 1558310400, 'totalLiquidityUSD': 456198217.85368437}"
"{'date': 1558396800, 'totalLiquidityUSD': 445271008.45172083}"
"{'date': 1558483200, 'totalLiquidityUSD': 443650565.03894573}"
"{'date': 1558569600, 'totalLiquidityUSD': 443675488.7227297}"
"{'date': 1558656000, 'totalLiquidityUSD': 418188796.5578417}"
"{'date': 1558742400, 'totalLiquidityUSD': 444064522.623493}"
"{'date': 1558828800, 'totalLiquidityUSD': 451283928.16564673}"
"{'date': 1558915200, 'totalLiquidityUSD': 432837347.7113352}"
