tvl
"{'date': 1620518400, 'totalLiquidityUSD': 2367579312.098123}"
"{'date': 1620604800, 'totalLiquidityUSD': 2424753876.5280085}"
"{'date': 1620691200, 'totalLiquidityUSD': 2317487052.776585}"
"{'date': 1620777600, 'totalLiquidityUSD': 2423171176.606609}"
"{'date': 1620864000, 'totalLiquidityUSD': 2121163286.1166532}"
"{'date': 1620950400, 'totalLiquidityUSD': 2279260365.233887}"
"{'date': 1621036800, 'totalLiquidityUSD': 2073764841.2240696}"
"{'date': 1621123200, 'totalLiquidityUSD': 2047637802.793144}"
"{'date': 1621209600, 'totalLiquidityUSD': 1927450721.047384}"
"{'date': 1621296000, 'totalLiquidityUSD': 2048445283.255859}"
"{'date': 1621382400, 'totalLiquidityUSD': 1508126282.8166997}"
"{'date': 1621468800, 'totalLiquidityUSD': 1647980191.317655}"
"{'date': 1621555200, 'totalLiquidityUSD': 1368605004.9287105}"
"{'date': 1621641600, 'totalLiquidityUSD': 1351900801.8782232}"
"{'date': 1621728000, 'totalLiquidityUSD': 1129501231.391412}"
"{'date': 1621814400, 'totalLiquidityUSD': 1386927490.5345762}"
"{'date': 1621900800, 'totalLiquidityUSD': 1438605706.8568447}"
"{'date': 1621987200, 'totalLiquidityUSD': 1568902021.097932}"
"{'date': 1622073600, 'totalLiquidityUSD': 1580234566.840737}"
"{'date': 1622160000, 'totalLiquidityUSD': 1387909111.030607}"
"{'date': 1622246400, 'totalLiquidityUSD': 1307751186.5481575}"
"{'date': 1622332800, 'totalLiquidityUSD': 1384098239.87912}"
"{'date': 1622419200, 'totalLiquidityUSD': 1516761227.0974925}"
"{'date': 1622505600, 'totalLiquidityUSD': 1481417133.4441466}"
"{'date': 1622592000, 'totalLiquidityUSD': 1509426025.0418031}"
"{'date': 1622678400, 'totalLiquidityUSD': 1577568380.3405492}"
"{'date': 1622764800, 'totalLiquidityUSD': 1488448034.771296}"
"{'date': 1622851200, 'totalLiquidityUSD': 1419248909.607404}"
"{'date': 1622937600, 'totalLiquidityUSD': 1444532051.854415}"
"{'date': 1623024000, 'totalLiquidityUSD': 1377692321.0291932}"
"{'date': 1623110400, 'totalLiquidityUSD': 1344694321.5041306}"
"{'date': 1623196800, 'totalLiquidityUSD': 1428427027.3023083}"
"{'date': 1623283200, 'totalLiquidityUSD': 1371410417.089759}"
"{'date': 1623369600, 'totalLiquidityUSD': 1283228202.7421522}"
"{'date': 1623456000, 'totalLiquidityUSD': 1281081851.7434926}"
"{'date': 1623542400, 'totalLiquidityUSD': 1338460102.2764595}"
"{'date': 1623628800, 'totalLiquidityUSD': 1376154511.5456297}"
"{'date': 1623715200, 'totalLiquidityUSD': 1386491325.2811604}"
"{'date': 1623801600, 'totalLiquidityUSD': 1299737609.1720083}"
