tvl
"{'date': 1570053600, 'totalLiquidityUSD': 104118801.53597006}"
"{'date': 1570140000, 'totalLiquidityUSD': 104936888.51321468}"
"{'date': 1570226400, 'totalLiquidityUSD': 104160702.28397413}"
"{'date': 1570312800, 'totalLiquidityUSD': 104494805.61736415}"
"{'date': 1570399200, 'totalLiquidityUSD': 104489700.40032485}"
"{'date': 1570485600, 'totalLiquidityUSD': 102495802.56079799}"
"{'date': 1570572000, 'totalLiquidityUSD': 109211592.24468875}"
"{'date': 1570658400, 'totalLiquidityUSD': 111574988.18313694}"
"{'date': 1570744800, 'totalLiquidityUSD': 115340147.90405323}"
"{'date': 1570831200, 'totalLiquidityUSD': 114135721.14507416}"
"{'date': 1570917600, 'totalLiquidityUSD': 113196957.62192304}"
"{'date': 1571004000, 'totalLiquidityUSD': 112577450.78531064}"
"{'date': 1571090400, 'totalLiquidityUSD': 112691139.01702632}"
"{'date': 1571176800, 'totalLiquidityUSD': 113201833.51442721}"
"{'date': 1571263200, 'totalLiquidityUSD': 111202966.84770209}"
"{'date': 1571349600, 'totalLiquidityUSD': 110545785.81474657}"
"{'date': 1571436000, 'totalLiquidityUSD': 108733079.31306373}"
"{'date': 1571522400, 'totalLiquidityUSD': 109887709.31970802}"
"{'date': 1571608800, 'totalLiquidityUSD': 109069175.25542293}"
"{'date': 1571695200, 'totalLiquidityUSD': 110724748.88653782}"
"{'date': 1571781600, 'totalLiquidityUSD': 109082486.18223573}"
"{'date': 1571868000, 'totalLiquidityUSD': 105841657.67790323}"
"{'date': 1571954400, 'totalLiquidityUSD': 105935831.38654104}"
"{'date': 1572040800, 'totalLiquidityUSD': 106618621.01147889}"
"{'date': 1572127200, 'totalLiquidityUSD': 114397243.3534706}"
"{'date': 1572217200, 'totalLiquidityUSD': 116001640.73375711}"
"{'date': 1572303600, 'totalLiquidityUSD': 116735428.52289537}"
"{'date': 1572390000, 'totalLiquidityUSD': 118714840.53779525}"
"{'date': 1572476400, 'totalLiquidityUSD': 117001079.7941887}"
"{'date': 1572562800, 'totalLiquidityUSD': 115157568.40209407}"
"{'date': 1572649200, 'totalLiquidityUSD': 117045010.47551829}"
"{'date': 1572735600, 'totalLiquidityUSD': 116898532.83786242}"
"{'date': 1572822000, 'totalLiquidityUSD': 115145514.60875355}"
"{'date': 1572908400, 'totalLiquidityUSD': 114080006.45116642}"
"{'date': 1572994800, 'totalLiquidityUSD': 110256903.92678046}"
"{'date': 1573081200, 'totalLiquidityUSD': 108787842.28800993}"
"{'date': 1573167600, 'totalLiquidityUSD': 105822518.75760719}"
"{'date': 1573254000, 'totalLiquidityUSD': 104367697.70638743}"
"{'date': 1573340400, 'totalLiquidityUSD': 103502434.46361119}"
"{'date': 1573426800, 'totalLiquidityUSD': 103559887.48091844}"
"{'date': 1573513200, 'totalLiquidityUSD': 100972938.50393164}"
"{'date': 1573599600, 'totalLiquidityUSD': 99870150.83912131}"
"{'date': 1573686000, 'totalLiquidityUSD': 93312617.34923257}"
"{'date': 1573772400, 'totalLiquidityUSD': 92546832.23140602}"
"{'date': 1573858800, 'totalLiquidityUSD': 91406839.58376998}"
"{'date': 1573945200, 'totalLiquidityUSD': 89643552.1086675}"
"{'date': 1574031600, 'totalLiquidityUSD': 90517541.44587046}"
"{'date': 1574118000, 'totalLiquidityUSD': 88331220.1493923}"
"{'date': 1574204400, 'totalLiquidityUSD': 87520610.69179372}"
"{'date': 1574290800, 'totalLiquidityUSD': 86771917.95053491}"
"{'date': 1574377200, 'totalLiquidityUSD': 85993132.35416658}"
"{'date': 1574463600, 'totalLiquidityUSD': 83434728.48214005}"
"{'date': 1574550000, 'totalLiquidityUSD': 84365531.96156387}"
"{'date': 1574636400, 'totalLiquidityUSD': 84982764.40242827}"
"{'date': 1574722800, 'totalLiquidityUSD': 81362775.46456383}"
"{'date': 1574809200, 'totalLiquidityUSD': 83853524.1441013}"
"{'date': 1574895600, 'totalLiquidityUSD': 81921221.91473956}"
"{'date': 1574982000, 'totalLiquidityUSD': 85845207.84611072}"
"{'date': 1575068400, 'totalLiquidityUSD': 88014709.09065196}"
"{'date': 1575154800, 'totalLiquidityUSD': 87964657.4321262}"
"{'date': 1575241200, 'totalLiquidityUSD': 84897160.36857653}"
"{'date': 1575327600, 'totalLiquidityUSD': 84663275.17230251}"
"{'date': 1575414000, 'totalLiquidityUSD': 87519688.57712978}"
"{'date': 1575500400, 'totalLiquidityUSD': 86722734.03686084}"
"{'date': 1575586800, 'totalLiquidityUSD': 85860868.08872893}"
"{'date': 1575673200, 'totalLiquidityUSD': 85524401.7648212}"
"{'date': 1575759600, 'totalLiquidityUSD': 83517195.89478947}"
"{'date': 1575846000, 'totalLiquidityUSD': 82893364.43822736}"
"{'date': 1575932400, 'totalLiquidityUSD': 89858787.67877075}"
"{'date': 1576018800, 'totalLiquidityUSD': 85224603.58636966}"
"{'date': 1576105200, 'totalLiquidityUSD': 84129894.52526061}"
"{'date': 1576191600, 'totalLiquidityUSD': 85810188.09381804}"
"{'date': 1576278000, 'totalLiquidityUSD': 86207655.73334834}"
"{'date': 1576364400, 'totalLiquidityUSD': 85935240.7337467}"
"{'date': 1576450800, 'totalLiquidityUSD': 85086468.66091694}"
"{'date': 1576537200, 'totalLiquidityUSD': 84296383.81772989}"
"{'date': 1576623600, 'totalLiquidityUSD': 81650691.36540551}"
"{'date': 1576710000, 'totalLiquidityUSD': 77311691.87014842}"
"{'date': 1576796400, 'totalLiquidityUSD': 79166057.5102681}"
"{'date': 1576882800, 'totalLiquidityUSD': 80710369.68337527}"
"{'date': 1576969200, 'totalLiquidityUSD': 80878294.04022096}"
"{'date': 1577055600, 'totalLiquidityUSD': 81399928.1101271}"
"{'date': 1577142000, 'totalLiquidityUSD': 83267949.58789472}"
"{'date': 1577228400, 'totalLiquidityUSD': 81261048.50173081}"
"{'date': 1577314800, 'totalLiquidityUSD': 80226799.40674704}"
"{'date': 1577401200, 'totalLiquidityUSD': 83365711.1499968}"
"{'date': 1577487600, 'totalLiquidityUSD': 80192130.66147655}"
"{'date': 1577574000, 'totalLiquidityUSD': 84209805.49949984}"
"{'date': 1577660400, 'totalLiquidityUSD': 79901995.07954681}"
"{'date': 1577746800, 'totalLiquidityUSD': 80135808.78180255}"
"{'date': 1577833200, 'totalLiquidityUSD': 79782065.63414235}"
"{'date': 1577919600, 'totalLiquidityUSD': 80396219.88177834}"
"{'date': 1578006000, 'totalLiquidityUSD': 81916478.45742968}"
"{'date': 1578092400, 'totalLiquidityUSD': 82565542.48785669}"
"{'date': 1578178800, 'totalLiquidityUSD': 83241751.71968085}"
"{'date': 1578265200, 'totalLiquidityUSD': 84127296.98646475}"
"{'date': 1578351600, 'totalLiquidityUSD': 87240712.77269882}"
"{'date': 1578438000, 'totalLiquidityUSD': 91319878.48706567}"
"{'date': 1578524400, 'totalLiquidityUSD': 85266087.05198243}"
"{'date': 1578610800, 'totalLiquidityUSD': 82707259.1116041}"
"{'date': 1578697200, 'totalLiquidityUSD': 84086219.16157882}"
"{'date': 1578783600, 'totalLiquidityUSD': 86906691.91485061}"
"{'date': 1578870000, 'totalLiquidityUSD': 87610547.19852248}"
"{'date': 1578956400, 'totalLiquidityUSD': 87889527.50537384}"
"{'date': 1579042800, 'totalLiquidityUSD': 89676331.2660792}"
"{'date': 1579129200, 'totalLiquidityUSD': 96733389.86069506}"
"{'date': 1579215600, 'totalLiquidityUSD': 95460172.35988066}"
"{'date': 1579302000, 'totalLiquidityUSD': 97023678.50344194}"
"{'date': 1579388400, 'totalLiquidityUSD': 96532944.2726302}"
"{'date': 1579474800, 'totalLiquidityUSD': 95948964.0324648}"
"{'date': 1579561200, 'totalLiquidityUSD': 82729013.02156183}"
"{'date': 1579647600, 'totalLiquidityUSD': 87262157.06865248}"
"{'date': 1579734000, 'totalLiquidityUSD': 88345077.97086647}"
"{'date': 1579820400, 'totalLiquidityUSD': 86108492.23138283}"
"{'date': 1579906800, 'totalLiquidityUSD': 84713229.55563752}"
