date,totalLiquidityUSD
1577750400,607625550.3533473
1577836800,601647511.968705
1577923200,601080389.7048705
1578009600,595701665.7799689
1578096000,603654433.5263643
1578182400,605644563.1001728
1578268800,609228167.7535053
1578355200,622070697.8600057
1578441600,609443867.8359665
1578528000,632765584.3734953
1578614400,589758184.2011104
1578700800,588363207.4747639
1578787200,611430850.5143986
1578873600,593691162.3601564
1578960000,614345982.1009566
1579046400,650082271.2719996
1579132800,711412696.2768486
1579219200,691457528.4915289
1579305600,730907497.5867873
1579392000,718235963.4216796
1579478400,712653214.7742488
1579564800,686443518.3455015
1579651200,720415139.7840569
1579737600,718083698.6268282
1579824000,705520697.5576385
1579910400,696901832.8016953
1579996800,693293788.7184416
1580083200,700449334.8277317
1580169600,726684092.2043664
1580256000,757798081.6080348
1580342400,772714018.1224965
1580428800,774131454.5967227
1580515200,786273604.1430013
1580601600,797270070.9756688
1580688000,818663154.4504108
1580774400,808975107.2985501
1580860800,802015461.1739278
1580947200,835844989.2722911
1581033600,871499493.3538828
1581120000,901576411.1989691
1581206400,908164290.5904964
1581292800,908848577.149772
1581379200,863675860.6513807
1581465600,902346824.926088
1581552000,982585226.8531357
1581638400,1007523524.3503247
1581724800,1041045728.6344833
1581811200,1060961496.2612385
1581897600,1012697222.9498302
1581984000,959209441.201244
1582070400,1010629510.9374988
1582156800,984621651.7251409
1582243200,891581667.8138198
1582329600,921055965.7272487
1582416000,784168205.9669665
1582502400,951179975.5238655
1582588800,958706023.8617958
1582675200,928556327.8008637
1582761600,850336543.1839484
1582848000,843370491.1518905
1582934400,819521432.6930745
1583020800,842085727.6830773
1583107200,834322495.489379
1583193600,826079207.7518187
1583280000,850474467.9822224
1583366400,834090866.4783639
1583452800,852918852.8961802
1583539200,864882374.3635222
1583625600,880730087.0946288
1583712000,835643367.097122
1583798400,765490236.1227705
1583884800,768689028.159333
1583971200,776294270.0351804
1584057600,549007295.6044772
1584144000,520563036.1190209
1584230400,523438883.0048671
1584316800,505318164.79098153
1584403200,429679480.9554741
1584489600,470695795.39537734
1584576000,464421381.59506065
1584662400,498531158.7160604
1584748800,560454629.4909179
1584835200,520020288.2105116
1584921600,511493982.1498498
1585008000,498991330.68750393
1585094400,542827935.9664106
1585180800,542249140.3406209
1585267200,549523630.3157395
1585353600,554264663.1348647
1585440000,539652185.209792
1585526400,537398278.4442495
1585612800,549937434.0030739
1585699200,559557614.4151726
1585785600,565160845.9527857
1585872000,581532617.958611
1585958400,609708163.1789552
1586044800,598709191.3765559
1586131200,602213144.1511458
1586217600,624379373.889957
1586304000,677550710.7855625
1586390400,663728982.1768066
1586476800,669343932.9772898
1586563200,621704973.5837239
1586649600,628271643.9860102
1586736000,623534538.344636
1586822400,618477357.7023594
1586908800,625901222.8993957
1586995200,624358031.8193232
1587081600,657927071.473245
1587168000,669310150.9630997
1587254400,681875879.9686925
1587340800,726332757.1919569
1587427200,707097610.2279018
1587513600,679098592.2548898
1587600000,701127957.0924898
1587686400,714198599.1991982
1587772800,722759962.9936261
1587859200,732117445.5930269
1587945600,734580135.5745746
1588032000,741670929.1941917
1588118400,755216913.831756
1588204800,799868487.7326121
1588291200,792017637.5586053
1588377600,804314531.1258625
1588464000,807950034.5284308
1588550400,824086252.6268164
1588636800,781004061.4778309
1588723200,788731827.7307576
1588809600,832834326.7214636
1588896000,807479879.2186552
1588982400,831477967.2740648
1589068800,774946626.0050378
1589155200,789618121.1920904
1589241600,707250214.4380171
1589328000,759705511.6957898
1589414400,768316250.9951149
1589500800,789967324.0530677
1589587200,718891049.2875358
1589673600,784510649.5922203
1589760000,795337392.8554777
1589846400,813514924.4004116
1589932800,823354440.8805944
1590019200,838096436.4753451
1590105600,756357751.2098675
1590192000,752530317.6354113
1590278400,825128674.3246448
1590364800,816665543.0178376
1590451200,804706876.4782951
1590537600,810421707.5022962
1590624000,826087996.4774047
1590710400,821686758.8776884
1590796800,847872860.9827303
1590883200,894879717.1171838
1590969600,917970595.8387063
1591056000,919112157.9404602
1591142400,953502191.3655984
1591228800,936930602.8516157
1591315200,939315245.9359956
1591401600,971780809.7035528
1591488000,974246222.1644609
1591574400,963644735.8688433
1591660800,972758082.0727675
1591747200,952109730.4260432
1591833600,921916559.2305293
1591920000,994470744.279779
1592006400,890195714.2261338
1592092800,963879599.1461719
1592179200,797745866.7544789
1592265600,928013701.3970308
1592352000,942134627.3693424
1592438400,1028172449.9686904
1592524800,1219618473.4573948
1592611200,1294300612.9791949
1592697600,1399582622.1542983
1592784000,1486513533.3017192
1592870400,1397281915.3495839
1592956800,1552410611.394969
1593043200,1593272583.2548046
1593129600,1660367744.1798122
1593216000,1686192081.2524357
1593302400,1656405462.0884182
1593388800,1693117313.887208
1593475200,1698625423.3142648
1593561600,1602540304.2775543
1593648000,1739505131.566056
1593734400,1741175122.276179
1593820800,1772463061.2653227
1593907200,1862450098.2579994
1593993600,1820054978.9385478
1594080000,2007566446.1154537
1594166400,2038902446.630816
1594252800,2123146729.8384626
1594339200,2156710890.4927115
1594425600,2163212539.4688883
1594512000,2116071929.618393
1594598400,2228760640.520331
1594684800,2252297780.76901
1594771200,2195946009.064608
1594857600,2241358797.4379153
1594944000,2227110051.556354
1595030400,2337577656.1821737
1595116800,2201683852.0891223
1595203200,2529246146.998346
1595289600,2639992099.713788
1595376000,2813831685.0515413
1595462400,3089968080.530653
1595548800,3254433888.2785873
1595635200,3542351228.8545046
1595721600,3642442968.901503
1595808000,3528323956.7445507
1595894400,3298462577.089652
1595980800,3259175211.934696
1596067200,3319501437.9863667
1596153600,3400155314.693797
1596240000,3572735675.516532
1596326400,3801642640.627901
1596412800,3765635710.449813
1596499200,3943304030.073796
1596585600,3965347237.4194236
1596672000,4143400062.2609525
1596758400,3098606771.5313325
1596844800,4140438313.0361342
1596931200,4160098721.03334
1597017600,4283289183.2232723
1597104000,4356337389.595753
1597190400,4295638818.640305
1597276800,4263153793.418546
1597363200,4436849272.22556
1597449600,4878319788.808156
1597536000,5545591958.236574
1597622400,5675624500.164802
1597708800,5954851841.529237
1597795200,6019902502.677703
1597881600,6060445740.403337
1597968000,6320990516.862739
1598054400,6406701068.942032
1598140800,6304546169.241984
1598227200,6435037342.974033
1598313600,6542211588.569341
1598400000,6716647208.582659
1598486400,6925308094.372648
1598572800,7019168628.486166
1598659200,7367962790.980317
1598745600,7766381922.00616
1598832000,8268793579.07358
1598918400,8639697603.80056
1599004800,9466766033.126379
1599091200,9179144168.505344
1599177600,9220131476.74446
1599264000,9033943255.266584
1599350400,7774217915.312024
1599436800,7960568981.149573
1599523200,7108561658.429866
1599609600,7031195425.354769
1599696000,7240821868.568714
1599782400,7928636954.699422
1599868800,8017679506.274876
1599955200,8179191620.369926
1600041600,8053524280.691278
1600128000,8195623901.090461
1600214400,7665959185.438376
1600300800,7741607377.468387
1600387200,8210121120.120142
1600473600,8600071830.110538
1600560000,9090178057.789087
1600646400,9462459530.087477
1600732800,8922290429.253416
1600819200,8908131160.543352
1600905600,9004742757.027891
1600992000,9127944992.345282
1601078400,9498606390.11859
1601164800,10461831116.17747
1601251200,10396468996.113243
1601337600,10542598012.828642
1601424000,10412758816.020763
1601510400,10245566779.893757
1601596800,10346227661.685549
1601683200,9890384738.809107
1601769600,10052273968.068506
1601856000,9993205390.428083
1601942400,9849453908.780107
1602028800,9520836622.608662
1602115200,9236117804.822954
1602201600,9340856345.632692
1602288000,9749234733.320185
1602374400,10055042549.780018
1602460800,10058160875.983486
1602547200,10083592932.823708
1602633600,10135797373.553877
1602720000,10087760086.5951
1602806400,9972325159.443502
1602892800,9761547062.258472
1602979200,9726943095.849436
1603065600,9791882213.192814
1603152000,9836142414.850487
1603238400,9632715361.165028
1603324800,9690488119.119688
1603411200,9780425454.531351
1603497600,9946577006.896938
1603584000,10048437083.409584
1603670400,11091295084.601732
1603756800,10335524622.842134
1603843200,10348577584.605913
1603929600,10323061080.72589
