tvl
"{'date': 1599256800, 'totalLiquidityUSD': 0}"
"{'date': 1616626800, 'totalLiquidityUSD': 4085186970.794103}"
"{'date': 1616713200, 'totalLiquidityUSD': 4043341857.285001}"
"{'date': 1616799600, 'totalLiquidityUSD': 4170054702.947563}"
"{'date': 1616886000, 'totalLiquidityUSD': 4279075929.814072}"
"{'date': 1616968800, 'totalLiquidityUSD': 4170866617.6149054}"
"{'date': 1617055200, 'totalLiquidityUSD': 4466364414.3864}"
"{'date': 1617141600, 'totalLiquidityUSD': 4541267805.3855095}"
"{'date': 1617228000, 'totalLiquidityUSD': 4373294225.646303}"
"{'date': 1617314400, 'totalLiquidityUSD': 4387949016.493157}"
"{'date': 1617400800, 'totalLiquidityUSD': 4621731076.42162}"
"{'date': 1617487200, 'totalLiquidityUSD': 4416060103.101966}"
"{'date': 1617573600, 'totalLiquidityUSD': 4512588876.915054}"
"{'date': 1617660000, 'totalLiquidityUSD': 4607354768.45197}"
"{'date': 1617746400, 'totalLiquidityUSD': 4597657696.208469}"
"{'date': 1617832800, 'totalLiquidityUSD': 4364293412.790844}"
"{'date': 1617919200, 'totalLiquidityUSD': 4483534417.883992}"
"{'date': 1618005600, 'totalLiquidityUSD': 4421396534.329011}"
"{'date': 1618092000, 'totalLiquidityUSD': 4201944590.47923}"
"{'date': 1618178400, 'totalLiquidityUSD': 4197752465.892535}"
"{'date': 1618264800, 'totalLiquidityUSD': 4186031931.0434346}"
"{'date': 1618351200, 'totalLiquidityUSD': 4210536521.881008}"
"{'date': 1618437600, 'totalLiquidityUSD': 4302710294.55584}"
"{'date': 1618524000, 'totalLiquidityUSD': 4468400459.51214}"
"{'date': 1618610400, 'totalLiquidityUSD': 4404185486.979258}"
"{'date': 1618696800, 'totalLiquidityUSD': 4410744878.952726}"
"{'date': 1618783200, 'totalLiquidityUSD': 4063850390.314987}"
"{'date': 1618869600, 'totalLiquidityUSD': 4042645782.9000664}"
"{'date': 1618956000, 'totalLiquidityUSD': 4191013982.6686893}"
"{'date': 1619042400, 'totalLiquidityUSD': 4203214350.609901}"
"{'date': 1619128800, 'totalLiquidityUSD': 4198135887.7032146}"
"{'date': 1619215200, 'totalLiquidityUSD': 4002301104.03879}"
"{'date': 1619301600, 'totalLiquidityUSD': 3961319699.073221}"
"{'date': 1619388000, 'totalLiquidityUSD': 3762442497.380901}"
"{'date': 1619474400, 'totalLiquidityUSD': 4109895797.5707154}"
"{'date': 1619560800, 'totalLiquidityUSD': 4529604306.247555}"
"{'date': 1619647200, 'totalLiquidityUSD': 4617432326.119641}"
"{'date': 1619733600, 'totalLiquidityUSD': 4558543240.457464}"
"{'date': 1619820000, 'totalLiquidityUSD': 5013422572.014627}"
"{'date': 1619906400, 'totalLiquidityUSD': 5251448007.813304}"
"{'date': 1619992800, 'totalLiquidityUSD': 5260409866.304655}"
"{'date': 1620079200, 'totalLiquidityUSD': 5408517975.934305}"
"{'date': 1620165600, 'totalLiquidityUSD': 5099746755.190624}"
"{'date': 1620252000, 'totalLiquidityUSD': 5281763013.72474}"
"{'date': 1620338400, 'totalLiquidityUSD': 5421247548.141074}"
"{'date': 1620424800, 'totalLiquidityUSD': 5362457792.680549}"
"{'date': 1620511200, 'totalLiquidityUSD': 5566925776.741304}"
"{'date': 1620597600, 'totalLiquidityUSD': 5520592525.614416}"
"{'date': 1620684000, 'totalLiquidityUSD': 5072414887.970715}"
"{'date': 1620864000, 'totalLiquidityUSD': 4222022051.6284637}"
"{'date': 1620950400, 'totalLiquidityUSD': 4736926800.158766}"
"{'date': 1621036800, 'totalLiquidityUSD': 4285032865.501799}"
"{'date': 1621123200, 'totalLiquidityUSD': 4260507721.1643057}"
"{'date': 1621209600, 'totalLiquidityUSD': 4877542990.774607}"
"{'date': 1621296000, 'totalLiquidityUSD': 5208136878.325084}"
"{'date': 1621382400, 'totalLiquidityUSD': 3683882505.4943624}"
"{'date': 1621468800, 'totalLiquidityUSD': 4129204811.068713}"
"{'date': 1621641600, 'totalLiquidityUSD': 3453000592.853783}"
"{'date': 1621728000, 'totalLiquidityUSD': 3034216596.0191636}"
"{'date': 1621814400, 'totalLiquidityUSD': 3650417040.81621}"
"{'date': 1621900800, 'totalLiquidityUSD': 3790961187.032497}"
"{'date': 1621987200, 'totalLiquidityUSD': 4176160670.709702}"
"{'date': 1622073600, 'totalLiquidityUSD': 4213844703.353051}"
"{'date': 1622160000, 'totalLiquidityUSD': 3872879262.7187085}"
"{'date': 1622246400, 'totalLiquidityUSD': 3779451596.8558164}"
"{'date': 1622332800, 'totalLiquidityUSD': 3948275670.2490606}"
"{'date': 1622419200, 'totalLiquidityUSD': 4392679020.182705}"
"{'date': 1622505600, 'totalLiquidityUSD': 4290956412.23112}"
"{'date': 1622592000, 'totalLiquidityUSD': 4537186047.105916}"
"{'date': 1622678400, 'totalLiquidityUSD': 4767879959.911793}"
"{'date': 1622764800, 'totalLiquidityUSD': 4504723873.446522}"
"{'date': 1622851200, 'totalLiquidityUSD': 4455657400.8419895}"
"{'date': 1622937600, 'totalLiquidityUSD': 4510726019.374589}"
"{'date': 1623024000, 'totalLiquidityUSD': 4616878568.020986}"
"{'date': 1623110400, 'totalLiquidityUSD': 4375239473.335778}"
"{'date': 1623196800, 'totalLiquidityUSD': 4592620858.617041}"
"{'date': 1623283200, 'totalLiquidityUSD': 4527194014.766609}"
"{'date': 1623369600, 'totalLiquidityUSD': 4556696250.989941}"
"{'date': 1623456000, 'totalLiquidityUSD': 4492132958.918779}"
"{'date': 1623542400, 'totalLiquidityUSD': 4526143593.91488}"
"{'date': 1623628800, 'totalLiquidityUSD': 4862086519.889914}"
"{'date': 1623715200, 'totalLiquidityUSD': 4872455154.385614}"
"{'date': 1623801600, 'totalLiquidityUSD': 4335998108.399708}"
"{'date': 1623884400, 'totalLiquidityUSD': 4109245168.4572263}"
"{'date': 1623970800, 'totalLiquidityUSD': 3894576437.4154863}"
"{'date': 1624057200, 'totalLiquidityUSD': 3669830893.7272034}"
"{'date': 1624143600, 'totalLiquidityUSD': 3642205346.2330284}"
"{'date': 1624230000, 'totalLiquidityUSD': 3718843545.9263296}"
"{'date': 1624316400, 'totalLiquidityUSD': 3179395849.175974}"
"{'date': 1624402800, 'totalLiquidityUSD': 3053710268.828973}"
"{'date': 1624489200, 'totalLiquidityUSD': 3128171288.575543}"
"{'date': 1624575600, 'totalLiquidityUSD': 3206595083.9655647}"
"{'date': 1624662000, 'totalLiquidityUSD': 2931826405.0396986}"
"{'date': 1624748400, 'totalLiquidityUSD': 2989389994.434083}"
"{'date': 1624834800, 'totalLiquidityUSD': 3143980914.7808285}"
"{'date': 1624921200, 'totalLiquidityUSD': 3268569369.9058394}"
"{'date': 1625007600, 'totalLiquidityUSD': 3453531858.7107353}"
"{'date': 1625094000, 'totalLiquidityUSD': 3521839202.112675}"
"{'date': 1625180400, 'totalLiquidityUSD': 3380618987.5418587}"
"{'date': 1625266800, 'totalLiquidityUSD': 3412668829.4003186}"
"{'date': 1625353200, 'totalLiquidityUSD': 3516863403.978831}"
"{'date': 1625439600, 'totalLiquidityUSD': 3635160543.045313}"
"{'date': 1625526000, 'totalLiquidityUSD': 3537906214.1655374}"
"{'date': 1625612400, 'totalLiquidityUSD': 3606985776.607562}"
"{'date': 1625698800, 'totalLiquidityUSD': 3579705180.7595086}"
"{'date': 1625785200, 'totalLiquidityUSD': 3353332438.8764715}"
"{'date': 1625871600, 'totalLiquidityUSD': 3469497375.6308975}"
"{'date': 1625958000, 'totalLiquidityUSD': 3423467675.968987}"
"{'date': 1626044400, 'totalLiquidityUSD': 3489232353.0290794}"
"{'date': 1626130800, 'totalLiquidityUSD': 3364837639.548649}"
"{'date': 1626217200, 'totalLiquidityUSD': 3267906384.948106}"
"{'date': 1626303600, 'totalLiquidityUSD': 3360335075.617635}"
"{'date': 1626390000, 'totalLiquidityUSD': 3202263305.7352653}"
"{'date': 1626476400, 'totalLiquidityUSD': 3073734309.559004}"
"{'date': 1626562800, 'totalLiquidityUSD': 3177524573.925471}"
"{'date': 1626649200, 'totalLiquidityUSD': 3178419814.7854447}"
"{'date': 1626735600, 'totalLiquidityUSD': 3070466245.930457}"
"{'date': 1626822000, 'totalLiquidityUSD': 2908899952.0454865}"
"{'date': 1626908400, 'totalLiquidityUSD': 3134713104.8763285}"
"{'date': 1626994800, 'totalLiquidityUSD': 3227411318.4689617}"
"{'date': 1627081200, 'totalLiquidityUSD': 3362418329.083143}"
"{'date': 1627167600, 'totalLiquidityUSD': 3443514195.8909593}"
"{'date': 1627254000, 'totalLiquidityUSD': 3475545394.5656137}"
"{'date': 1627340400, 'totalLiquidityUSD': 3594220528.935336}"
"{'date': 1627426800, 'totalLiquidityUSD': 3728836935.756655}"
"{'date': 1627513200, 'totalLiquidityUSD': 3750101794.1063943}"
"{'date': 1627599600, 'totalLiquidityUSD': 3840287576.8169475}"
"{'date': 1627686000, 'totalLiquidityUSD': 3954116871.890663}"
"{'date': 1627772400, 'totalLiquidityUSD': 4073892488.878727}"
"{'date': 1627858800, 'totalLiquidityUSD': 4059627246.6424127}"
"{'date': 1627945200, 'totalLiquidityUSD': 3915841760.9798207}"
"{'date': 1628031600, 'totalLiquidityUSD': 4040728980.762876}"
"{'date': 1628118000, 'totalLiquidityUSD': 4249638187.5795274}"
"{'date': 1628204400, 'totalLiquidityUSD': 4259961971.266668}"
"{'date': 1628290800, 'totalLiquidityUSD': 4404543022.8443775}"
"{'date': 1628377200, 'totalLiquidityUSD': 4579368455.119642}"
"{'date': 1628463600, 'totalLiquidityUSD': 4470237215.603435}"
