tvl
"{'date': 1555459200, 'totalLiquidityUSD': 9517084.431575008}"
"{'date': 1555545600, 'totalLiquidityUSD': 9713499.586314298}"
"{'date': 1555632000, 'totalLiquidityUSD': 10087459.278679842}"
"{'date': 1555718400, 'totalLiquidityUSD': 9945599.850647744}"
"{'date': 1555804800, 'totalLiquidityUSD': 9872757.274243323}"
"{'date': 1555891200, 'totalLiquidityUSD': 9562985.17361928}"
"{'date': 1555977600, 'totalLiquidityUSD': 9742063.10549306}"
"{'date': 1556064000, 'totalLiquidityUSD': 9781906.12356048}"
"{'date': 1556150400, 'totalLiquidityUSD': 9589781.869567286}"
"{'date': 1556236800, 'totalLiquidityUSD': 8947983.379519626}"
"{'date': 1556323200, 'totalLiquidityUSD': 9218099.877557782}"
"{'date': 1556409600, 'totalLiquidityUSD': 9792845.954552436}"
"{'date': 1556496000, 'totalLiquidityUSD': 9761954.101493677}"
"{'date': 1556582400, 'totalLiquidityUSD': 9865562.209198387}"
"{'date': 1556668800, 'totalLiquidityUSD': 10304036.984631078}"
"{'date': 1556755200, 'totalLiquidityUSD': 10140696.56811914}"
"{'date': 1556841600, 'totalLiquidityUSD': 10354418.807270298}"
"{'date': 1556928000, 'totalLiquidityUSD': 10711353.259023378}"
"{'date': 1557014400, 'totalLiquidityUSD': 10589495.961018356}"
"{'date': 1557100800, 'totalLiquidityUSD': 10486517.705025805}"
"{'date': 1557187200, 'totalLiquidityUSD': 10877208.010393409}"
"{'date': 1557273600, 'totalLiquidityUSD': 10289357.327028794}"
"{'date': 1557360000, 'totalLiquidityUSD': 10138360.705859901}"
"{'date': 1557446400, 'totalLiquidityUSD': 10347693.599759866}"
"{'date': 1557532800, 'totalLiquidityUSD': 10706751.527644679}"
"{'date': 1557619200, 'totalLiquidityUSD': 11849811.674583767}"
"{'date': 1557705600, 'totalLiquidityUSD': 11464875.74846155}"
"{'date': 1557792000, 'totalLiquidityUSD': 12061939.279106677}"
"{'date': 1557878400, 'totalLiquidityUSD': 12959792.519061863}"
"{'date': 1557964800, 'totalLiquidityUSD': 13895166.900875442}"
"{'date': 1558051200, 'totalLiquidityUSD': 14174545.869069519}"
"{'date': 1558137600, 'totalLiquidityUSD': 14357582.793049306}"
"{'date': 1558224000, 'totalLiquidityUSD': 13645662.878851335}"
"{'date': 1558310400, 'totalLiquidityUSD': 14208721.318571437}"
"{'date': 1558396800, 'totalLiquidityUSD': 15359217.177859241}"
"{'date': 1558483200, 'totalLiquidityUSD': 15545830.688289877}"
"{'date': 1558569600, 'totalLiquidityUSD': 15756129.474346543}"
"{'date': 1558656000, 'totalLiquidityUSD': 16250041.797630778}"
"{'date': 1558742400, 'totalLiquidityUSD': 16432335.47332033}"
"{'date': 1558828800, 'totalLiquidityUSD': 16732097.522925481}"
"{'date': 1558915200, 'totalLiquidityUSD': 16585565.281534476}"
"{'date': 1559001600, 'totalLiquidityUSD': 16949115.984911285}"
"{'date': 1559088000, 'totalLiquidityUSD': 17188413.28814485}"
